DktRegion,Pipeline,sigma.0.,sigma.2.5.,sigma.25.,sigma.50.,sigma.75.,sigma.97.5.,sigma.100.,sigma.sd,tau0.0.,tau0.2.5.,tau0.25.,tau0.50.,tau0.75.,tau0.97.5.,tau0.100.,tau_0.sd,tau1.0.,tau1.2.5.,tau1.25.,tau1.50.,tau1.75.,tau1.97.5.,tau1.100.,tau_1.sd,variance.ratio.0.,variance.ratio.2.5.,variance.ratio.25.,variance.ratio.50.,variance.ratio.75.,variance.ratio.97.5.,variance.ratio.100.,variance.ratio.sd,variance.ratio.exp.0.,variance.ratio.exp.2.5.,variance.ratio.exp.25.,variance.ratio.exp.50.,variance.ratio.exp.75.,variance.ratio.exp.97.5.,variance.ratio.exp.100.,variance.ratio.exp.sd
L-CA1,Freesurfer Xs,0.36750385671159,0.403876682463555,0.422498468100763,0.453350109511265,0.484851740169409,0.542645406942817,0.617186123180143,0.0386603391511593,0.691499057894938,0.771518103372548,0.864534093441868,0.926763858472089,0.973491924502048,1.09388760627099,1.25706725392145,0.07983057797184,0.636492497837793,0.669664060446833,1.60320797473077,3.60517309013271,6.15573223772474,39.4694304469579,99.9364045396729,10.3022277169182,1.1464659014894,1.52459478520214,1.84878037789294,2.02071111976238,2.23963460541105,2.47559968038591,2.81366749758994,0.25632977895106,2.9709040072785,3.90836224592588,5.34258053710423,9.6912868113468,15.1615749677969,85.531708290443,242.624796075984,22.1697830563972
L-CA2-3,Freesurfer Xs,0.464815605318617,0.515174676258839,0.563106613607384,0.584823173233512,0.619670921999189,0.689450346304831,0.827400258987504,0.0447121670370991,0.520585852498711,0.66186461295137,0.74818560440043,0.79356885885314,0.849765772417401,0.984498811182196,1.22200844203409,0.0809798022950934,0.590652828491791,0.968048935493625,1.37555904144498,2.37003012155138,4.1032241423894,10.9189051982697,19.7622397068836,2.66375341526328,0.768773011690457,1.03244044869135,1.26062438532707,1.33297227539537,1.46255175859293,1.76742665794562,2.10339293662043,0.179185792836522,1.8871996865021,2.93301588699982,3.73187902117526,5.34062318891212,8.18922859038736,19.870260497643,35.5360541242282,4.56095727266577
L-DG,Freesurfer Xs,0.494392507996704,0.547912563505265,0.590494807610521,0.619556877020482,0.653729757100803,0.734867155967035,0.842621225190534,0.047243538382932,0.544525677320418,0.643999036355856,0.742725344759184,0.795916757887059,0.84479226706283,0.983368290397097,1.23098081725808,0.0842840995789633,0.187591491545598,0.229217850859478,3.00853093246424,4.41196682401942,7.64983226110165,16.1445631452506,43.4110243928939,4.45219879050356,0.731083235157116,0.949548389875692,1.16567571170539,1.28568602842359,1.39446268347963,1.64879462445097,2.08050331604203,0.175127414211784,1.33716729071522,1.5616807207437,6.11721156076892,8.42437969087731,13.3988624459199,27.1488537326967,76.8047620589356,7.12517785696355
L-SUB,Freesurfer Xs,0.366608041802763,0.417034173038444,0.454847349283346,0.479336551739246,0.508784176750798,0.556209950163785,0.693975608623143,0.0365489473357272,0.642201455622943,0.745190677241628,0.844525978972063,0.912047222291597,0.947459448371687,1.06804404656474,1.25277892855807,0.0831373786609944,0.186705677029021,0.267928178007094,1.66296134005976,3.8632271689491,6.65860149297177,23.0905010896746,93.1906093120741,7.84421656588487,1.17903516954463,1.46170376103801,1.73996029982684,1.84555667215214,2.02634900742131,2.36038477254156,2.99445835179038,0.233390828576831,1.73928612297824,2.38738776433438,5.74318546492129,10.0010638179758,15.1338849934951,51.5201872586887,204.864995734482,16.8413853563986
R-CA1,Freesurfer Xs,0.353375547573644,0.400384032542036,0.442970225689329,0.458915801645389,0.483688789782702,0.568828181612731,0.635028595467629,0.0383961368068932,0.667931673000692,0.746315687315511,0.834383524948955,0.891984352703765,0.967268480304914,1.07168092937558,1.19999227751709,0.0853028348983818,0.0703806980101624,0.133040001869325,1.13810382864744,2.56380788047044,3.82282925672937,9.10903779608656,21.4180773002047,2.47439660746797,1.18404599528788,1.47687482564758,1.74954456357091,1.94575312504496,2.13266621063125,2.41386267022825,2.8936317687962,0.250591009349761,1.58670244862036,2.19027010068746,4.46906768724071,7.49726020922866,10.3279418692782,22.149109404601,47.7320871972791,5.34127062263305
R-CA2-3,Freesurfer Xs,0.397729101443299,0.454808088190037,0.495016458215344,0.516957215126418,0.550572723955622,0.610233396046438,0.707560564058634,0.0412548366383109,0.601265708783475,0.708224579431551,0.809324372102278,0.869026801046712,0.919021941728733,1.02215575785084,1.26755015732518,0.0809997273906678,0.181884200421748,0.280867144150578,2.76176656848548,5.84933790209266,11.4085312734299,19.7304468572046,47.5244733351507,6.56680807735311,0.988612688816853,1.25941994231612,1.52594640633475,1.66769528875379,1.80308221343499,2.08252995088871,2.63086593620648,0.20391143341613,1.66244581458152,2.13063577692752,6.991922613756,12.7848027999996,23.7426549379201,40.6411212700831,90.4604070948809,12.9320767446265
R-DG,Freesurfer Xs,0.461158976890906,0.519533753507568,0.567082377614211,0.598147599854391,0.619820749451162,0.691728520811867,0.792681015184716,0.0432057346312077,0.520340041763081,0.672667661176908,0.777918143261915,0.814413943602502,0.866072053749895,1.00702795717094,1.1630897045034,0.0811412609614538,0.305037452571778,0.390086322511839,1.56450875081999,3.38229308139976,7.4097500626236,39.0622064365924,40.8182660487356,11.7975198104227,0.742750765417179,1.04631440679829,1.27796701781335,1.3652447029627,1.4950183223184,1.79889964522385,2.1126049986679,0.180426947805023,1.60412147210446,2.0821449119166,3.95026466490873,7.11110466406909,13.9069005098679,65.1864702153668,68.3446123188635,19.3895627721507
R-SUB,Freesurfer Xs,0.357437632022448,0.397566510803769,0.437168006591943,0.466985640743023,0.494783088212857,0.535675736948752,0.610658671648916,0.0372801883704299,0.671546275683564,0.765721432878366,0.859240801870992,0.897411916006108,0.955146537433164,1.08402207460505,1.27744831303604,0.0805670039638866,0.0215653260822269,0.0400227136993894,0.737014836988071,3.32978254100234,7.66071076285264,18.0964999082394,39.6171984594192,5.8345075240078,1.24902477577824,1.5374872341822,1.78521795584469,1.94114314903695,2.14146787050247,2.48599474792514,3.12348143673983,0.248974178941751,1.33197038609565,1.91091737296162,3.57914416689709,9.13059004735838,18.9593768955925,42.8839691449683,89.2674111543025,12.4410128900105
L-CA1,ASHS Xs,0.407825197370106,0.438318813847093,0.483991412333663,0.513459899645121,0.532652734587994,0.5807535073252,0.657002903733004,0.036559437763663,0.577042190356259,0.725106060842584,0.794608721138208,0.856879656213511,0.951213107574165,1.03977331430206,1.43167249200689,0.0953294819632919,0.235362820029168,0.682002476849388,1.60951660828518,3.76746140094974,6.20215336818069,19.082515188417,45.1408471608608,4.94182158881394,1.09910529434284,1.35022235020852,1.54581469053216,1.71210638664458,1.875960797,2.14324222907452,2.76372765986415,0.216454254211281,1.94651502969444,3.0284938798336,4.9309194358062,8.95944753909306,13.9719643228657,40.4082650471677,94.5282070277233,10.1502280555875
L-CA2-3,ASHS Xs,0.360757650277273,0.402965597711547,0.433624109971344,0.461731993508077,0.493137751237649,0.540740890681707,0.616068999520221,0.0376792663262039,0.674791234126469,0.74039786018135,0.838516827653418,0.896858286858939,0.939733285486379,1.06226355330889,1.24500952875849,0.0829287201789106,0.412038162277636,0.850650804952756,1.78005725403465,3.73000180036546,7.18753790552313,25.5748587897774,64.511058402601,7.78737519301959,1.23927892301468,1.47440236561036,1.77339125424544,1.94243230235724,2.13925061545731,2.41756143759839,2.79230014200608,0.260928444846077,2.51162965251017,3.78605098805082,6.12262368872369,9.85094837980257,17.1735964124855,57.8837697898829,151.128528995669,16.2399596809379
